id,FM18_CH3OH_4.1/day,FM18_CH3OH_4.1/day_R1,FM20_no-lim_5.2/day,FM20_no-lim_5.2/day_R1,FM21_no-lim_5.4/day,FM21_no-lim_5.4/day_R1,FM21_no-lim_5.4/day_R2,FM12_CH4-lim_3.0/day,FM12_CH4-lim_3.0/day_R1,FM14_CH4-lim_3.0/day,FM14_CH4-lim_3.0/day_R1,FM19_O2-lim_3.5.day,FM19_O2-lim_3.5.day_R1,FM19_O2-lim_3.5.day_R2,FM22_O2-lim_4.2/day,FM22_O2-lim_4.2/day_R1,FM22_O2-lim_4.2/day_R2,FM34_-Cu_2.7/day_t0,FM40_-Cu_2.9/day_t0m,FM40_+Cu_2.9/day_t10m,FM40_+Cu_2.9/day_t20m,FM40_+Cu_2.9/day_t40m,FM40_+Cu_2.9/day_t60m,FM40_+Cu_2.9/day_t90m,FM40_+Cu_2.9/day_t180m,FM34_+Cu_2.7/day_t180m,FM34_+Cu_2.7/day_t240m,FM34_+Cu_2.7/day_t300m,FM34_+Cu_2.7/day_t360m,FM34_+Cu_2.7/day_t420m,FM34_+Cu_2.7/day_t480m,FM69_O2-lim+_0.7/day_t2,FM69_?-lim_0.7/day_t3,FM69_?-lim_0.7/day_t3_R1,FM69_?-lim_0.7/day_t4,FM69_?-lim_0.7/day_t4_R2,FM80_O2-lim_0.7/day_t2,FM80_O2-lim_0.7/day_t4,FM81_O2-lim+_0.7/day_t1,FM81_O2-lim_0.7/day_t2
MBURv2_100001,0.19239034,0.399055752,0.22604392,0.031919312,-0.259212198,0.024218021,-0.375939347,-0.662137985,-0.664962393,-0.340740779,-0.336630005,-0.39095567,-0.599170837,-0.591524251,-0.454947186,0.015632343,-0.229037324,-0.353053132,-0.210975335,-0.52103753,-0.514811176,-0.432348979,-0.326300367,-0.462619223,-0.392372612,-0.397099829,-0.625674851,-0.353980393,-0.217239083,-0.145831244,-0.169519726,-0.714688821,0.375098413,0.230305065,0.045003001,-0.026447986,-0.136418271,-0.239294983,-0.400820356,-0.313183757
MBURv2_100002,-0.405649447,-0.30995986,-0.581343432,-1.050033096,-1.235837689,-0.529027668,-1.161496514,-1.274654489,-1.243865441,-1.715638887,-2.215570619,-0.493420674,-0.865134574,-0.662042466,-1.293836852,-0.552639294,-1.197071865,-2.092268982,-1.237473137,-1.366295017,-2.22649203,-1.65815559,-2.115298855,-1.670867462,-1.901790386,-2.78505409,-2.448031936,-2.024334385,-3.2030949,-0.872768764,-2.717254432,-2.980652558,-0.202879697,-2.423929262,-0.404706232,-1.477967376,-1.135769931,-1.251408867,-1.323482347,-1.384361389
MBURv2_10001,-0.349818215,-0.432158679,-0.748817431,-1.126518941,-1.176546755,-0.974532843,-1.157318047,-1.812235249,-1.774428142,-1.72455042,-1.778432745,-1.751744842,-2.126935955,-2.111356295,-1.716258414,-1.674838112,-1.75993399,-3.346293012,-1.786953051,-1.228001625,-1.513252847,-1.590251525,-1.958585524,-2.109923386,-2.774992632,-2.717150026,-1.441528416,-2.956430321,-2.398225242,-2.541830294,-2.819275369,-2.497710994,-1.428475319,-1.24054798,-1.345572377,-1.410063312,-2.228330539,-1.94355401,-2.684421581,-2.403920166
MBURv2_10002,-0.429268128,0.644219824,0.573051943,0.232233475,-0.060840923,0.395559943,-0.097190642,-1.325058744,-1.769956151,-0.577713708,-0.566898031,-0.101513552,-0.505718728,-0.604119702,-0.68638034,0.158426678,-0.355419039,0.342922238,-0.100907068,-0.133732964,-0.280943246,0.051083029,-0.323075739,0.117960713,0.140986244,0.3209358,-0.256111867,-0.012495933,0.418509444,-0.032524133,0.187882629,-0.253695213,0.061458087,-0.387287418,0.545962388,0.11419319,-0.076866476,-0.000965294,-0.226298962,-0.229278088
MBURv2_10003,-0.47512037,-0.159999762,-0.398919356,-0.153890672,-0.364631225,-0.543517917,-0.403339271,-1.106884143,-1.116420849,-0.932348441,-0.947665048,-1.024358525,-0.767429406,-0.868286988,-0.878583103,-0.831691418,-0.676125857,-0.757963367,-0.748037198,-1.102835351,-0.946163448,-1.129683868,-0.863170428,-0.917399567,-0.995845262,-0.82773907,-0.908580459,-1.117292572,-0.544254694,-0.977173477,-0.737528164,-1.391160398,-0.835127598,-1.039627434,-0.662972537,-0.845406495,-1.228497342,-1.149969004,-1.464723828,-1.412012136
MBURv2_10004,-0.89925652,-0.8257762,-0.253636665,-0.255746776,-0.250629287,-0.262278054,-0.270348655,-1.447906441,-1.433120699,-1.5183879,-1.776359842,-0.869059356,-0.92409027,-0.658136159,-0.837873066,-0.772522747,-0.822841119,-1.812555835,-1.708895358,-1.780773441,-1.760505888,-1.682118833,-1.69652167,-1.627716509,-1.938692685,-2.007563013,-1.508521056,-1.363799454,-1.913397665,-1.675517777,-1.661047326,-2.025374361,-0.713131335,-1.782759655,-0.768507768,-1.823858714,-1.227467351,-1.138404009,-1.699121029,-1.447650953
MBURv2_10005,0.097044856,0.142822421,0.688213764,0.957357701,0.784590128,0.545845951,0.766510272,-0.34396831,-0.324091385,-0.499225905,-0.638875734,0.039684942,0.393182871,0.426911726,0.183031229,-0.036570768,0.32734112,-0.941338003,-0.216647842,-0.304173305,-0.401220793,-0.464789344,-0.283862771,-0.157898174,-0.119981071,-0.940878895,-0.953799212,-0.388745812,-0.586871651,-0.743532856,-0.70562249,-0.403957673,-0.49587679,-0.462570527,-0.475515314,-0.298607989,-0.273023988,-0.474076113,-0.733112525,-0.90518301
MBURv2_10006,0.183645475,0.749078453,0.118907858,0.46101038,-0.248972206,-0.273581803,-0.063836907,-0.071510626,-0.578558399,-0.360399304,0.247718146,-0.609333788,-0.022278888,-0.477634583,-0.318498907,-0.98126628,-0.394373305,0.710429578,-0.043984625,-0.527972548,-0.749193758,0.232005811,-0.638828528,0.070430553,0.148835687,-0.458793575,-0.15348028,-0.388745812,0.091456756,0.514892296,-0.10720095,-0.534097808,-0.104326554,0.588222664,0.182686652,0.597749678,-0.356997211,-0.863747807,-0.279379398,-0.703341386
MBURv2_10007,0.715365954,0.443387594,1.144038097,1.385256828,1.032880668,1.000899129,1.127023074,0.231198173,-0.128503111,-0.023580963,0.694877796,0.19463532,0.273866573,0.336801065,0.08900492,0.34053113,0.468264053,-0.234287987,-0.058276665,-0.508314022,-0.899025752,0.21047265,-0.865363974,0.017188532,0.126115611,-1.038104408,-0.759975943,-1.336278392,-0.930076406,-0.2971875,-1.15472932,-0.833164945,-1.041754082,-0.565948266,-0.543813641,-0.567518961,-0.486188085,-0.454231151,-1.036788916,-0.696305395
MBURv2_10008,-0.274492036,0.107408155,0.539097304,0.524044301,0.260274074,0.294519205,0.235780083,-1.207519711,-1.446944903,-1.030639452,-0.996999909,-0.435181417,-0.512365058,-0.413002834,-0.550944993,-0.306155838,-0.364114893,-0.411099374,-0.67203643,-1.004467256,-1.076604326,-0.565404041,-1.044459561,-0.687072897,-0.857858966,-1.131763515,-0.885506825,-0.845952765,-0.907356329,-0.447747176,-0.666628359,-1.55563097,-1.007446032,-1.270209696,-0.837759324,-0.909210311,-1.096437027,-0.905044223,-1.09903507,-1.204542105
